Actual Sepsis	Estimated Sepsis	Counts
0.6722689075630253	0.7	119
0.8362068965517241	0.8	116
0.8505747126436781	0.9	87
0.9148936170212766	1.0	47
0.3333333333333333	0.1	3
0.18181818181818182	0.2	11
0.23076923076923078	0.3	26
0.4307692307692308	0.4	65
0.5773195876288659	0.5	97
0.6601941747572816	0.6	103
0.7073170731707317	0.7	123
0.8429752066115702	0.8	121
0.8421052631578947	0.9	76
0.9090909090909091	1.0	55
0.2	0.1	5
0.36363636363636365	0.2	11
0.17647058823529413	0.3	34
0.4915254237288136	0.4	59
0.6470588235294118	0.5	85
0.6106194690265486	0.6	113
0.7226890756302521	0.7	119
0.8	0.8	125
0.8604651162790697	0.9	86
0.9302325581395349	1.0	43
0.2	0.1	5
0.3333333333333333	0.2	15
0.23529411764705882	0.3	34
0.45614035087719296	0.4	57
0.6224489795918368	0.5	98
0.6435643564356436	0.6	101
0.7142857142857143	0.7	133
0.8482142857142857	0.8	112
0.8214285714285714	0.9	84
0.9512195121951219	1.0	41
0.14285714285714285	0.1	7
0.16666666666666666	0.2	12
0.2972972972972973	0.3	37
0.46808510638297873	0.4	47
0.6071428571428571	0.5	84
0.6421052631578947	0.6	95
0.7299270072992701	0.7	137
0.784	0.8	125
0.8461538461538461	0.9	91
0.9111111111111111	1.0	45
0.0	0.1	1
0.3125	0.2	16
0.21212121212121213	0.3	33
0.4426229508196721	0.4	61
0.6276595744680851	0.5	94
0.7027027027027027	0.6	111
0.6917293233082706	0.7	133
0.8189655172413793	0.8	116
0.8571428571428571	0.9	70
0.9111111111111111	1.0	45
0.0	0.1	4
0.16666666666666666	0.2	12
0.2571428571428571	0.3	35
0.5740740740740741	0.4	54
0.5760869565217391	0.5	92
0.6634615384615384	0.6	104
0.7205882352941176	0.7	136
0.8145161290322581	0.8	124
0.7901234567901234	0.9	81
0.9736842105263158	1.0	38
0.3333333333333333	0.1	3
0.2727272727272727	0.2	11
0.3333333333333333	0.3	33
0.46153846153846156	0.4	65
0.5604395604395604	0.5	91
0.6764705882352942	0.6	102
0.7054263565891473	0.7	129
0.8333333333333334	0.8	120
0.8170731707317073	0.9	82
0.9318181818181818	1.0	44
0.0	0.0	1
0.0	0.1	2
0.3888888888888889	0.2	18
0.2647058823529412	0.3	34
0.4166666666666667	0.4	60
0.6632653061224489	0.5	98
0.6185567010309279	0.6	97
0.7272727272727273	0.7	121
0.8306451612903226	0.8	124
0.8333333333333334	0.9	78
0.8936170212765957	1.0	47
0.3333333333333333	0.1	3
0.2	0.2	15
0.25	0.3	28
0.46551724137931033	0.4	58
0.5977011494252874	0.5	87
0.6699029126213593	0.6	103
0.7092198581560284	0.7	141
0.7962962962962963	0.8	108
0.8295454545454546	0.9	88
0.9387755102040817	1.0	49
