	Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
104	GO_Biological_Process_2023	Negative Regulation Of Cytokine Production (GO:0001818)	4/178	0.0024005148024587	0.0141287442658999	0	0	7.700370153906098	46.44918768480102	APOA2;FN1;APOA1;F2
105	GO_Biological_Process_2023	Integrin-Mediated Signaling Pathway (GO:0007229)	3/85	0.0024478928071568	0.0142716769322917	0	0	12.106707317073171	72.79191313864128	ADAMTS13;FN1;APOA1
106	GO_Biological_Process_2023	Positive Regulation Of Lipid Metabolic Process (GO:0045834)	2/24	0.002577453215505	0.0146134503411201	0	0	29.6795827123696	176.9186122505105	APOA2;F2
107	GO_Biological_Process_2023	Acylglycerol Catabolic Process (GO:0046464)	2/24	0.002577453215505	0.0146134503411201	0	0	29.6795827123696	176.9186122505105	APOA2;APOC3
108	GO_Biological_Process_2023	Response To Hexose (GO:0009746)	2/24	0.002577453215505	0.0146134503411201	0	0	29.6795827123696	176.9186122505105	APOA2;GPLD1
109	GO_Biological_Process_2023	Negative Regulation Of Lipid Biosynthetic Process (GO:0051055)	2/25	0.0027959111229246	0.0157079370360673	0	0	28.38774055595153	166.90848108900067	APOC1;APOC3
110	GO_Biological_Process_2023	Acute Inflammatory Response (GO:0002526)	2/26	0.0030227765952782	0.0168295129358736	0	0	27.203551912568305	157.8235682211173	APCS;HPR
111	GO_Biological_Process_2023	Peptide Cross-Linking (GO:0018149)	2/27	0.0032579962101204	0.0179771576594147	0	0	26.11409836065574	149.54611680407334	FN1;F13B
112	GO_Biological_Process_2023	Positive Regulation Of Supramolecular Fiber Organization (GO:1902905)	3/96	0.003455291549789	0.0188970812192001	0	0	10.668817204301074	60.46923895267782	GSN;TNXB;CLU
113	GO_Biological_Process_2023	Protein Stabilization (GO:0050821)	4/208	0.0041936759668579	0.0227341381361245	0	0	6.557992688600864	35.89961674647207	APOA2;AFM;APOA1;CLU
114	GO_Biological_Process_2023	Positive Regulation Of Cholesterol Transport (GO:0032376)	2/31	0.0042813561678117	0.0228092940664452	0	0	22.507631430186542	122.74504069720068	PON1;APOA1
115	GO_Biological_Process_2023	Endodermal Cell Differentiation (GO:0035987)	2/31	0.0042813561678117	0.0228092940664452	0	0	22.507631430186542	122.74504069720068	VTN;FN1
116	GO_Biological_Process_2023	Regulation Of Cholesterol Efflux (GO:0010874)	2/32	0.0045575536632649	0.0240732321700659	0	0	21.756284153005463	117.28745944543245	PON1;APOA1
117	GO_Biological_Process_2023	Glycerophospholipid Biosynthetic Process (GO:0046474)	3/108	0.004806941371781	0.0251447573900823	0	0	9.443809523809524	50.40816813869841	APOA2;APOA1;LCAT
118	GO_Biological_Process_2023	Positive Regulation Of Small Molecule Metabolic Process (GO:0062013)	2/33	0.0048417898534301	0.0251447573900823	0	0	21.053410893707035	112.22459247641284	APOA1;GPLD1
119	GO_Biological_Process_2023	Cell-Matrix Adhesion (GO:0007160)	3/109	0.0049319992975491	0.0253997963823782	0	0	9.354245283018868	49.6898523070011	VTN;ADAMTS13;FN1
