Actual Infection	Estimated Infection	Counts
0.6436781609195402	0.5	87
0.6722689075630253	0.6	119
0.6190476190476191	0.7	126
0.7545454545454545	0.8	110
0.8333333333333334	0.9	84
0.8275862068965517	1.0	29
0.3333333333333333	0.1	3
0.3076923076923077	0.2	13
0.5	0.3	38
0.625	0.4	64
0.6	0.5	105
0.6396396396396397	0.6	111
0.6976744186046512	0.7	129
0.7567567567567568	0.8	111
0.8148148148148148	0.9	81
0.76	1.0	25
0.0	0.0	1
0.0	0.1	2
0.42857142857142855	0.2	14
0.42857142857142855	0.3	28
0.5614035087719298	0.4	57
0.6538461538461539	0.5	104
0.6491228070175439	0.6	114
0.6761904761904762	0.7	105
0.6890756302521008	0.8	119
0.8494623655913979	0.9	93
0.7674418604651163	1.0	43
0.0	0.0	2
0.3333333333333333	0.1	3
0.18181818181818182	0.2	11
0.48936170212765956	0.3	47
0.6865671641791045	0.4	67
0.6363636363636364	0.5	99
0.6666666666666666	0.6	102
