Actual Infection	Estimated Infection	Counts
0.6528925619834711	0.7	121
0.6982758620689655	0.8	116
0.8571428571428571	0.9	84
0.7857142857142857	1.0	28
0.0	0.1	2
0.45454545454545453	0.2	11
0.4375	0.3	32
0.6060606060606061	0.4	66
0.6352941176470588	0.5	85
0.624	0.6	125
0.6639344262295082	0.7	122
0.7355371900826446	0.8	121
0.8333333333333334	0.9	90
0.8076923076923077	1.0	26
0.0	0.0	1
0.25	0.1	4
0.3333333333333333	0.2	6
0.5333333333333333	0.3	30
0.55	0.4	60
0.6310679611650486	0.5	103
0.6410256410256411	0.6	117
0.6451612903225806	0.7	124
0.7478991596638656	0.8	119
0.8125	0.9	80
0.8611111111111112	1.0	36
0.0	0.0	2
0.3333333333333333	0.1	3
0.38461538461538464	0.2	13
0.4857142857142857	0.3	35
0.5666666666666667	0.4	60
0.6862745098039216	0.5	102
0.6228070175438597	0.6	114
0.6717557251908397	0.7	131
0.7410714285714286	0.8	112
0.8170731707317073	0.9	82
0.8076923076923077	1.0	26
0.2	0.1	5
0.2222222222222222	0.2	9
0.5277777777777778	0.3	36
0.576271186440678	0.4	59
0.625	0.5	96
0.6578947368421053	0.6	114
0.6370967741935484	0.7	124
0.776	0.8	125
0.8160919540229885	0.9	87
0.76	1.0	25
0.2	0.1	5
0.42857142857142855	0.2	7
0.45454545454545453	0.3	33
0.5857142857142857	0.4	70
0.6931818181818182	0.5	88
0.608	0.6	125
0.6220472440944882	0.7	127
0.7647058823529411	0.8	119
0.872093023255814	0.9	86
0.75	1.0	20
0.3333333333333333	0.1	3
0.5	0.2	6
0.3870967741935484	0.3	31
0.6029411764705882	0.4	68
0.6224489795918368	0.5	98
0.6454545454545455	0.6	110
0.6617647058823529	0.7	136
0.7241379310344828	0.8	116
0.8539325842696629	0.9	89
0.782608695652174	1.0	23
0.0	0.0	1
0.25	0.1	4
0.5	0.2	8
0.5	0.3	32
0.5666666666666667	0.4	60
0.6285714285714286	0.5	105
0.6111111111111112	0.6	108
0.6612903225806451	0.7	124
0.7758620689655172	0.8	116
0.7978723404255319	0.9	94
0.8214285714285714	1.0	28
0.25	0.1	4
0.23076923076923078	0.2	13
0.5	0.3	38
0.6140350877192983	0.4	57
0.65	0.5	100
0.6484375	0.6	128
0.6176470588235294	0.7	102
0.7355371900826446	0.8	121
0.8777777777777778	0.9	90
0.7407407407407407	1.0	27
0.0	0.0	1
0.0	0.1	2
0.2857142857142857	0.2	14
0.5526315789473685	0.3	38
0.5873015873015873	0.4	63
0.6333333333333333	0.5	90
0.6880733944954128	0.6	109
0.6060606060606061	0.7	132
0.782258064516129	0.8	124
0.8266666666666667	0.9	75
0.75	1.0	32
0.0	0.1	3
0.4444444444444444	0.2	9
0.42857142857142855	0.3	28
0.5483870967741935	0.4	62
0.6504854368932039	0.5	103
0.67	0.6	100
0.6615384615384615	0.7	130
0.6982758620689655	0.8	116
0.8260869565217391	0.9	92
0.8108108108108109	1.0	37
0.0	0.1	3
0.4	0.2	5
0.43333333333333335	0.3	30
0.6551724137931034	0.4	58
0.6333333333333333	0.5	90
0.5726495726495726	0.6	117
0.7218045112781954	0.7	133
0.6984126984126984	0.8	126
0.8214285714285714	0.9	84
0.7941176470588235	1.0	34
0.25	0.1	4
0.2727272727272727	0.2	11
0.625	0.3	32
0.5522388059701493	0.4	67
0.5888888888888889	0.5	90
0.6470588235294118	0.6	102
0.675	0.7	120
0.7401574803149606	0.8	127
0.7934782608695652	0.9	92
0.8285714285714286	1.0	35
0.0	0.1	2
0.25	0.2	4
0.46153846153846156	0.3	39
0.64	0.4	50
0.6170212765957447	0.5	94
0.672	0.6	125
0.576	0.7	125
0.7795275590551181	0.8	127
0.8271604938271605	0.9	81
0.7878787878787878	1.0	33
0.0	0.0	1
0.5	0.1	2
0.45454545454545453	0.2	11
0.4772727272727273	0.3	44
0.5932203389830508	0.4	59
0.6236559139784946	0.5	93
0.6634615384615384	0.6	104
0.6666666666666666	0.7	132
0.7107438016528925	0.8	121
0.8390804597701149	0.9	87
0.8076923076923077	1.0	26
0.0	0.1	2
0.4	0.2	10
0.3333333333333333	0.3	30
0.6666666666666666	0.4	57
0.6464646464646465	0.5	99
0.6260162601626016	0.6	123
0.6434108527131783	0.7	129
0.7404580152671756	0.8	131
0.863013698630137	0.9	73
0.8076923076923077	1.0	26
0.3333333333333333	0.1	3
0.26666666666666666	0.2	15
0.56	0.3	50
0.6129032258064516	0.4	62
0.6509433962264151	0.5	106
0.5980392156862745	0.6	102
0.6640625	0.7	128
0.7627118644067796	0.8	118
0.8695652173913043	0.9	69
0.7777777777777778	1.0	27
0.3333333333333333	0.1	3
0.4	0.2	15
0.43333333333333335	0.3	30
0.5714285714285714	0.4	77
0.6385542168674698	0.5	83
0.67	0.6	100
0.6129032258064516	0.7	124
0.7575757575757576	0.8	132
0.8470588235294118	0.9	85
0.8064516129032258	1.0	31
0.25	0.1	4
0.5	0.2	10
0.5	0.3	28
0.5238095238095238	0.4	63
0.6292134831460674	0.5	89
0.673469387755102	0.6	98
0.632	0.7	125
0.7398373983739838	0.8	123
0.8	0.9	105
0.8	1.0	35
0.3333333333333333	0.1	6
0.23076923076923078	0.2	13
0.4722222222222222	0.3	36
0.6461538461538462	0.4	65
0.6309523809523809	0.5	84
0.6470588235294118	0.6	119
0.648	0.7	125
0.7540983606557377	0.8	122
0.8488372093023255	0.9	86
0.7083333333333334	1.0	24
0.0	0.1	3
0.25	0.2	4
0.5517241379310345	0.3	29
0.5555555555555556	0.4	72
0.6829268292682927	0.5	82
0.6370967741935484	0.6	124
0.6470588235294118	0.7	119
0.6949152542372882	0.8	118
0.8415841584158416	0.9	101
0.75	1.0	28
0.0	0.0	1
0.0	0.1	2
0.4166666666666667	0.2	12
0.37142857142857144	0.3	35
0.6666666666666666	0.4	63
0.6521739130434783	0.5	92
0.6605504587155964	0.6	109
0.625	0.7	128
0.7310924369747899	0.8	119
0.8409090909090909	0.9	88
0.7741935483870968	1.0	31
0.0	0.1	2
0.14285714285714285	0.2	7
0.6363636363636364	0.3	33
0.5507246376811594	0.4	69
0.6419753086419753	0.5	81
0.6015625	0.6	128
0.6491228070175439	0.7	114
0.7540983606557377	0.8	122
0.8387096774193549	0.9	93
0.7741935483870968	1.0	31
0.5	0.1	4
0.125	0.2	16
0.5517241379310345	0.3	29
0.625	0.4	64
0.6555555555555556	0.5	90
0.5714285714285714	0.6	112
0.648	0.7	125
0.7704918032786885	0.8	122
0.8695652173913043	0.9	92
0.7307692307692307	1.0	26
0.0	0.0	1
0.25	0.1	4
0.3333333333333333	0.2	9
0.4857142857142857	0.3	35
0.5633802816901409	0.4	71
0.7078651685393258	0.5	89
0.5982905982905983	0.6	117
0.6587301587301587	0.7	126
0.7542372881355932	0.8	118
0.8518518518518519	0.9	81
0.7586206896551724	1.0	29
0.4	0.1	5
0.375	0.2	8
0.4	0.3	35
0.6212121212121212	0.4	66
0.6391752577319587	0.5	97
0.6363636363636364	0.6	110
0.6666666666666666	0.7	132
0.7372881355932204	0.8	118
0.8352941176470589	0.9	85
0.7916666666666666	1.0	24
0.25	0.1	4
0.25	0.2	16
0.5357142857142857	0.3	28
0.6268656716417911	0.4	67
0.61	0.5	100
0.6410256410256411	0.6	117
0.625	0.7	120
0.7704918032786885	0.8	122
0.8461538461538461	0.9	78
0.8571428571428571	1.0	28
1.0	0.0	1
0.0	0.1	4
0.4444444444444444	0.2	9
0.4482758620689655	0.3	29
0.6533333333333333	0.4	75
0.6744186046511628	0.5	86
0.5798319327731093	0.6	119
0.624	0.7	125
0.7410714285714286	0.8	112
0.8817204301075269	0.9	93
0.7407407407407407	1.0	27
0.0	0.0	1
0.0	0.1	1
0.3333333333333333	0.2	12
0.4594594594594595	0.3	37
0.6538461538461539	0.4	52
0.6404494382022472	0.5	89
0.639344262295082	0.6	122
0.6186440677966102	0.7	118
0.746031746031746	0.8	126
0.8333333333333334	0.9	96
0.7692307692307693	1.0	26
0.2	0.1	5
0.4	0.2	10
0.5384615384615384	0.3	26
0.4603174603174603	0.4	63
0.6702127659574468	0.5	94
0.635593220338983	0.6	118
0.6935483870967742	0.7	124
0.7008547008547008	0.8	117
0.8351648351648352	0.9	91
0.84375	1.0	32
0.0	0.0	1
0.3333333333333333	0.1	3
0.3333333333333333	0.2	9
0.4444444444444444	0.3	27
0.5833333333333334	0.4	60
0.625	0.5	104
0.6699029126213593	0.6	103
0.6119402985074627	0.7	134
0.7478260869565218	0.8	115
0.8295454545454546	0.9	88
0.8611111111111112	1.0	36
0.3333333333333333	0.1	3
0.375	0.2	8
0.4	0.3	25
0.5254237288135594	0.4	59
0.6703296703296703	0.5	91
0.6666666666666666	0.6	117
0.6097560975609756	0.7	123
0.7388059701492538	0.8	134
0.8404255319148937	0.9	94
0.7692307692307693	1.0	26
0.2	0.1	5
0.4	0.2	5
0.3902439024390244	0.3	41
0.5967741935483871	0.4	62
0.6785714285714286	0.5	112
0.6568627450980392	0.6	102
0.6220472440944882	0.7	127
0.768595041322314	0.8	121
0.84	0.9	75
0.7666666666666667	1.0	30
0.3333333333333333	0.1	3
0.25	0.2	8
0.41935483870967744	0.3	31
0.6341463414634146	0.4	82
0.5783132530120482	0.5	83
0.6818181818181818	0.6	110
0.6528925619834711	0.7	121
0.7286821705426356	0.8	129
0.8333333333333334	0.9	84
0.7931034482758621	1.0	29
0.2	0.1	5
0.3	0.2	10
0.5294117647058824	0.3	34
0.589041095890411	0.4	73
0.6551724137931034	0.5	87
0.6293103448275862	0.6	116
0.6637168141592921	0.7	113
0.7209302325581395	0.8	129
0.8488372093023255	0.9	86
0.7777777777777778	1.0	27
0.0	0.0	1
0.75	0.1	4
0.36363636363636365	0.2	11
0.42424242424242425	0.3	33
0.5909090909090909	0.4	66
0.6813186813186813	0.5	91
0.6454545454545455	0.6	110
0.6124031007751938	0.7	129
0.7391304347826086	0.8	115
0.8390804597701149	0.9	87
0.8181818181818182	1.0	33
0.3333333333333333	0.1	3
0.2222222222222222	0.2	9
0.5	0.3	40
0.6029411764705882	0.4	68
0.6701030927835051	0.5	97
0.6306306306306306	0.6	111
0.6341463414634146	0.7	123
0.744	0.8	125
0.85	0.9	80
0.7916666666666666	1.0	24
0.25	0.1	4
0.14285714285714285	0.2	7
0.475	0.3	40
0.6612903225806451	0.4	62
0.627906976744186	0.5	86
0.6422764227642277	0.6	123
0.6204379562043796	0.7	137
0.7586206896551724	0.8	116
0.8734177215189873	0.9	79
0.7692307692307693	1.0	26
0.0	0.0	1
0.6666666666666666	0.1	3
0.0	0.2	5
0.4444444444444444	0.3	36
0.6285714285714286	0.4	70
0.6373626373626373	0.5	91
0.6796116504854369	0.6	103
0.6062992125984252	0.7	127
0.7181818181818181	0.8	110
0.8383838383838383	0.9	99
0.8	1.0	35
0.0	0.1	3
0.3	0.2	10
0.5862068965517241	0.3	29
0.49019607843137253	0.4	51
0.6509433962264151	0.5	106
0.5963302752293578	0.6	109
0.680672268907563	0.7	119
0.7372262773722628	0.8	137
0.8313253012048193	0.9	83
0.8181818181818182	1.0	33
0.0	0.1	4
0.3333333333333333	0.2	12
0.6	0.3	35
0.5774647887323944	0.4	71
0.654320987654321	0.5	81
0.6166666666666667	0.6	120
0.6484375	0.7	128
0.7586206896551724	0.8	116
0.8372093023255814	0.9	86
0.7777777777777778	1.0	27
0.0	0.1	2
0.375	0.2	8
0.4583333333333333	0.3	24
0.5806451612903226	0.4	62
0.6179775280898876	0.5	89
0.6349206349206349	0.6	126
0.6416666666666667	0.7	120
0.7619047619047619	0.8	126
0.8191489361702128	0.9	94
0.7586206896551724	1.0	29
0.25	0.1	4
0.2857142857142857	0.2	7
0.5	0.3	38
0.5660377358490566	0.4	53
0.6091954022988506	0.5	87
0.7027027027027027	0.6	111
0.5942028985507246	0.7	138
0.7741935483870968	0.8	124
0.8241758241758241	0.9	91
0.7777777777777778	1.0	27
0.4	0.1	5
0.0	0.2	8
0.575	0.3	40
0.5689655172413793	0.4	58
0.6444444444444445	0.5	90
0.6831683168316832	0.6	101
0.5681818181818182	0.7	132
0.7952755905511811	0.8	127
0.8045977011494253	0.9	87
0.8125	1.0	32
0.4	0.1	5
0.42857142857142855	0.2	7
0.4117647058823529	0.3	34
0.6197183098591549	0.4	71
0.6419753086419753	0.5	81
0.6554621848739496	0.6	119
0.6363636363636364	0.7	121
0.7407407407407407	0.8	135
0.8170731707317073	0.9	82
0.8	1.0	25
0.0	0.1	4
0.4	0.2	10
0.5405405405405406	0.3	37
0.578125	0.4	64
0.651685393258427	0.5	89
0.616822429906542	0.6	107
0.625	0.7	120
0.7819548872180451	0.8	133
0.8068181818181818	0.9	88
0.7857142857142857	1.0	28
0.0	0.1	2
0.3333333333333333	0.2	6
0.43333333333333335	0.3	30
0.6086956521739131	0.4	69
0.6237623762376238	0.5	101
0.6396396396396397	0.6	111
0.6608695652173913	0.7	115
0.7518248175182481	0.8	137
0.8048780487804879	0.9	82
0.7777777777777778	1.0	27
0.0	0.1	2
0.25	0.2	8
0.5172413793103449	0.3	29
0.5689655172413793	0.4	58
0.625	0.5	96
0.6439393939393939	0.6	132
0.5803571428571429	0.7	112
0.7874015748031497	0.8	127
0.8452380952380952	0.9	84
0.8125	1.0	32
0.0	0.0	1
0.5	0.1	2
0.5	0.2	10
0.46875	0.3	32
0.5573770491803278	0.4	61
0.6477272727272727	0.5	88
0.6147540983606558	0.6	122
0.6581196581196581	0.7	117
0.7388059701492538	0.8	134
0.8433734939759037	0.9	83
0.8	1.0	30
0.0	0.0	1
0.0	0.1	2
0.3333333333333333	0.2	9
0.5454545454545454	0.3	44
0.5483870967741935	0.4	62
0.7142857142857143	0.5	105
0.6237623762376238	0.6	101
0.6390977443609023	0.7	133
0.7476635514018691	0.8	107
0.7954545454545454	0.9	88
0.8214285714285714	1.0	28
0.0	0.0	1
0.0	0.1	2
0.3333333333333333	0.2	9
0.45161290322580644	0.3	31
0.6271186440677966	0.4	59
0.6161616161616161	0.5	99
0.6509433962264151	0.6	106
0.6153846153846154	0.7	130
0.7777777777777778	0.8	135
0.8554216867469879	0.9	83
0.68	1.0	25
0.3333333333333333	0.1	3
0.375	0.2	8
0.5	0.3	36
0.5573770491803278	0.4	61
0.6923076923076923	0.5	104
0.625	0.6	120
0.6186440677966102	0.7	118
0.7521367521367521	0.8	117
0.8372093023255814	0.9	86
0.7777777777777778	1.0	27
0.0	0.1	3
0.3333333333333333	0.2	12
0.45714285714285713	0.3	35
0.6538461538461539	0.4	52
0.5688073394495413	0.5	109
0.7087378640776699	0.6	103
0.6183206106870229	0.7	131
0.7642276422764228	0.8	123
0.8372093023255814	0.9	86
0.8076923076923077	1.0	26
0.0	0.1	3
0.45454545454545453	0.2	11
0.45714285714285713	0.3	35
0.6521739130434783	0.4	69
0.5959595959595959	0.5	99
0.6833333333333333	0.6	120
0.5871559633027523	0.7	109
0.7416666666666667	0.8	120
0.8641975308641975	0.9	81
0.8181818181818182	1.0	33
0.3333333333333333	0.1	3
0.18181818181818182	0.2	11
0.5588235294117647	0.3	34
0.6333333333333333	0.4	60
0.5826086956521739	0.5	115
0.6190476190476191	0.6	105
0.6614173228346457	0.7	127
0.7851239669421488	0.8	121
0.8591549295774648	0.9	71
0.7575757575757576	1.0	33
0.0	0.0	1
0.0	0.1	2
0.36363636363636365	0.2	11
0.48484848484848486	0.3	33
0.6764705882352942	0.4	68
0.5978260869565217	0.5	92
0.6396396396396397	0.6	111
0.6140350877192983	0.7	114
0.7761194029850746	0.8	134
0.8072289156626506	0.9	83
0.7741935483870968	1.0	31
0.0	0.1	3
0.2222222222222222	0.2	9
0.4864864864864865	0.3	37
0.6557377049180327	0.4	61
0.6904761904761905	0.5	84
0.5808823529411765	0.6	136
0.6410256410256411	0.7	117
0.7936507936507936	0.8	126
0.7976190476190477	0.9	84
0.782608695652174	1.0	23
0.0	0.0	1
0.5	0.1	2
0.3	0.2	10
0.47058823529411764	0.3	34
0.609375	0.4	64
0.6382978723404256	0.5	94
0.6324786324786325	0.6	117
0.6589147286821705	0.7	129
0.7154471544715447	0.8	123
0.868421052631579	0.9	76
0.8333333333333334	1.0	30
0.3333333333333333	0.1	3
0.2727272727272727	0.2	11
0.5	0.3	28
0.5614035087719298	0.4	57
0.65	0.5	100
0.6349206349206349	0.6	126
0.6607142857142857	0.7	112
0.75	0.8	128
0.7951807228915663	0.9	83
0.8125	1.0	32
0.4	0.1	5
0.21428571428571427	0.2	14
0.5	0.3	32
0.6153846153846154	0.4	65
0.6309523809523809	0.5	84
0.6491228070175439	0.6	114
0.6111111111111112	0.7	126
0.8062015503875969	0.8	129
0.7951807228915663	0.9	83
0.7857142857142857	1.0	28
0.0	0.1	3
0.4	0.2	10
0.42857142857142855	0.3	35
0.6716417910447762	0.4	67
0.6057692307692307	0.5	104
0.6320754716981132	0.6	106
0.6564885496183206	0.7	131
0.7913043478260869	0.8	115
0.7831325301204819	0.9	83
0.8076923076923077	1.0	26
0.0	0.1	3
0.5	0.2	18
0.4473684210526316	0.3	38
0.6438356164383562	0.4	73
0.5454545454545454	0.5	88
0.6779661016949152	0.6	118
0.6564885496183206	0.7	131
0.7933884297520661	0.8	121
0.828125	0.9	64
0.8076923076923077	1.0	26
0.0	0.0	1
0.25	0.1	4
0.45454545454545453	0.2	11
0.45161290322580644	0.3	31
0.640625	0.4	64
0.6391752577319587	0.5	97
0.660377358490566	0.6	106
0.5806451612903226	0.7	124
0.7925925925925926	0.8	135
0.8055555555555556	0.9	72
0.7714285714285715	1.0	35
0.0	0.0	1
0.5	0.1	2
0.2857142857142857	0.2	14
0.5151515151515151	0.3	33
0.609375	0.4	64
0.5978260869565217	0.5	92
0.6942148760330579	0.6	121
0.6178861788617886	0.7	123
0.7454545454545455	0.8	110
0.8202247191011236	0.9	89
0.8387096774193549	1.0	31
0.25	0.1	4
0.2	0.2	5
0.5	0.3	24
0.5714285714285714	0.4	63
0.6893203883495146	0.5	103
0.5619834710743802	0.6	121
0.6779661016949152	0.7	118
0.7575757575757576	0.8	132
0.8095238095238095	0.9	84
0.7692307692307693	1.0	26
0.0	0.1	4
0.5	0.2	8
0.4642857142857143	0.3	28
0.65	0.4	60
0.6336633663366337	0.5	101
0.5833333333333334	0.6	108
0.6567164179104478	0.7	134
0.7666666666666667	0.8	120
0.8470588235294118	0.9	85
0.6875	1.0	32
0.0	0.1	3
0.3333333333333333	0.2	9
0.5	0.3	38
0.6153846153846154	0.4	65
0.5913978494623656	0.5	93
0.68	0.6	100
0.6328125	0.7	128
0.7398373983739838	0.8	123
0.8295454545454546	0.9	88
0.8181818181818182	1.0	33
0.25	0.1	4
0.375	0.2	8
0.5	0.3	22
0.5409836065573771	0.4	61
0.6292134831460674	0.5	89
0.6386554621848739	0.6	119
0.6451612903225806	0.7	124
0.7571428571428571	0.8	140
0.8117647058823529	0.9	85
0.7857142857142857	1.0	28
0.0	0.1	5
0.5	0.2	12
0.5581395348837209	0.3	43
0.6197183098591549	0.4	71
0.611764705882353	0.5	85
0.6356589147286822	0.6	129
0.6782608695652174	0.7	115
0.7476635514018691	0.8	107
0.8160919540229885	0.9	87
0.7692307692307693	1.0	26
0.25	0.1	4
0.25	0.2	12
0.5517241379310345	0.3	29
0.59375	0.4	64
0.63	0.5	100
0.6203703703703703	0.6	108
0.6410256410256411	0.7	117
0.753968253968254	0.8	126
0.8426966292134831	0.9	89
0.7741935483870968	1.0	31
0.2	0.1	5
0.5	0.2	8
0.48148148148148145	0.3	27
0.5084745762711864	0.4	59
0.6767676767676768	0.5	99
0.6696428571428571	0.6	112
0.5350877192982456	0.7	114
0.7985074626865671	0.8	134
0.8172043010752689	0.9	93
0.7931034482758621	1.0	29
0.0	0.1	2
0.3	0.2	10
0.4375	0.3	32
0.65625	0.4	64
0.5842696629213483	0.5	89
0.7264957264957265	0.6	117
0.582089552238806	0.7	134
0.7767857142857143	0.8	112
0.8125	0.9	96
0.75	1.0	24
0.3333333333333333	0.1	3
0.21428571428571427	0.2	14
0.6538461538461539	0.3	26
0.5	0.4	64
0.6947368421052632	0.5	95
0.6293103448275862	0.6	116
0.6456692913385826	0.7	127
0.7168141592920354	0.8	113
0.8387096774193549	0.9	93
0.8275862068965517	1.0	29
0.25	0.1	4
0.3333333333333333	0.2	9
0.5526315789473685	0.3	38
0.559322033898305	0.4	59
0.6274509803921569	0.5	102
0.6517857142857143	0.6	112
