	Weight	Feature	Label
289	0.0025658012449774207	LDHA_HUMAN	Renal
290	0.0025331406135907925	LDHB_HUMAN	Renal
291	0.00245475474701193	CERU_HUMAN	Renal
292	0.0023688643085086	A1AG2_HUMAN	Renal
293	0.002335311418192258	CALM1_HUMAN	Renal
294	0.002293909787858985	LCAT_HUMAN	Renal
295	0.0021610552665669116	APOH_HUMAN	Renal
296	0.002078597051429203	GNPTG_HUMAN	Renal
297	0.002014210003655717	HRG_HUMAN	Renal
298	0.001990976231830456	IPSP_HUMAN	Renal
299	0.0019817259995917953	IBP7_HUMAN	Renal
300	0.0019519836517774812	ICAM1_HUMAN	Renal
301	0.0018414219206802252	LBP_HUMAN	Renal
302	0.0017078956020509866	CAH1_HUMAN	Renal
303	0.0017066153003452498	PON1_HUMAN	Renal
304	0.0016654574916522148	ACTG_HUMAN	Renal
305	0.001646563076298243	CETP_HUMAN	Renal
306	0.0016234366536275403	CRAC1_HUMAN	Renal
307	0.0012641048067756583	ALDOA_HUMAN	Renal
308	0.00113728162314898	IBP2_HUMAN	Renal
309	0.0011273251540834428	BGH3_HUMAN	Renal
310	0.0011056283819276596	ENPL_HUMAN	Renal
311	0.001065546681279842	CAMP_HUMAN	Renal
312	0.001019859971718941	CALR_HUMAN	Renal
313	0.0009731339638495013	ALS_HUMAN	Renal
314	0.0009057726264211878	COIA1_HUMAN	Renal
315	0.0008057711758652456	ICAM2_HUMAN	Renal
316	0.0006803289414894226	PLSL_HUMAN	Renal
317	0.0006575759213900644	ATRN_HUMAN	Renal
318	0.0006411985048591273	SPA11_HUMAN	Renal
319	0.000638766541508211	APOC2_HUMAN	Renal
320	0.0006083685630357842	GELS_HUMAN	Renal
321	0.0004864339107340472	OAF_HUMAN	Renal
322	0.0004513883789059275	C163A_HUMAN	Renal
323	0.0004199760425721784	APOF_HUMAN	Renal
324	0.00039476743123765515	PON3_HUMAN	Renal
325	0.0003063684801343352	APOA2_HUMAN	Renal
326	0.0003021834913593169	AMPN_HUMAN	Renal
327	0.00023013516249657714	SAA4_HUMAN	Renal
328	0.00022919749358786076	ITIH3_HUMAN	Renal
329	0.00016408527988496813	G3P_HUMAN	Renal
330	0.024554907172199564	MA1A1_HUMAN	Liver
331	0.020379639004162328	AMPN_HUMAN	Liver
332	0.019505476016437838	B2MG_HUMAN	Liver
333	0.01810841033444626	NRP1_HUMAN	Liver
334	0.01802559796601606	CATB_HUMAN	Liver
335	0.016965345052611255	APOH_HUMAN	Liver
336	0.016424184448948456	SPP24_HUMAN	Liver
337	0.01575344486107949	CBPN_HUMAN	Liver
338	0.01566341788975156	TRFE_HUMAN	Liver
339	0.015337216389075753	CAMP_HUMAN	Liver
340	0.015115317928480455	VWF_HUMAN	Liver
341	0.014612331868038193	C1RL_HUMAN	Liver
342	0.014461943999143535	CHLE_HUMAN	Liver
343	0.014195596947444973	ACTG_HUMAN	Liver
