sample,reachability,label
573,1.805656703077579,0
574,1.806948666579621,0
575,1.807198369357462,0
576,1.807575418773682,0
577,1.808220535904948,0
578,1.809662229679944,0
579,1.809965785686694,0
580,1.812455386608257,0
581,1.813521419881362,0
582,1.813521419881362,0
583,1.813521419881362,0
584,1.813521419881362,0
585,1.813661769447455,0
586,1.816470690739859,0
587,1.81660937239137,0
588,1.817963867015208,0
589,1.817963867015208,0
590,1.818221827530862,0
591,1.818221827530862,0
592,1.8190779461083,0
593,1.819153766063966,0
594,1.822001125783857,0
595,1.823371556088162,0
596,1.824265920784022,0
597,1.824901945984031,0
598,1.824947215283191,0
599,1.825854416972801,0
600,1.827909093226212,0
601,1.828127753080174,0
602,1.828220864544222,0
603,1.82865770227411,0
604,1.831442912255254,0
605,1.831458647399806,0
606,1.832543735225831,0
607,1.832543735225831,0
608,1.832820324322665,0
609,1.834254405213084,0
610,1.834787632430302,0
611,1.835004579161031,0
612,1.835013490339606,0
613,1.836660884138418,0
614,1.837330480822386,0
615,1.838714110502052,0
616,1.839893483846072,0
617,1.840062267141839,0
618,1.840461474933622,0
619,1.840495184237303,0
620,1.84389144922355,0
621,1.844012301892973,0
622,1.84472202358135,0
623,1.845220037019652,0
624,1.845909165065162,0
625,1.846222572927405,0
626,1.846508328603035,0
627,1.846539515556013,0
628,1.846975830841324,0
629,1.848182278792898,0
630,1.848890772694761,0
631,1.851388022649842,0
632,1.853189786755718,0
633,1.853189786755718,0
634,1.856010214345552,0
635,1.857265914611464,0
636,1.85806601716187,0
637,1.858239369932281,0
638,1.858639682481052,0
639,1.85895243169359,0
640,1.862212144129572,0
641,1.863785722166123,0
642,1.864811531423021,0
643,1.865034187195033,0
644,1.866411883523189,0
645,1.866446432497935,0
646,1.866446432497935,0
647,1.866971191962067,0
648,1.867266169265054,0
649,1.867931575009656,0
650,1.867931575009656,0
651,1.869441130392768,0
652,1.869441130392768,0
653,1.869836731981693,0
654,1.870025660580667,0
655,1.870477672117825,0
656,1.870803554643106,0
657,1.870803554643106,0
658,1.870803554643106,0
659,1.870803554643106,0
660,1.871931132977664,0
661,1.872165132086747,0
662,1.8734209680628,0
663,1.874176661377544,0
664,1.874329609403007,0
665,1.874717833668178,0
666,1.875104874013668,0
667,1.87522533201946,0
668,1.87638524100493,0
669,1.87638524100493,0
670,1.876490457950118,0
671,1.877720823198842,0
672,1.877720823198842,0
673,1.877845380358658,0
674,1.878312853887494,0
675,1.878312853887494,0
676,1.882133902676302,0
677,1.883474677635748,0
678,1.883474677635748,0
679,1.88358841723926,0
680,1.88358841723926,0
681,1.88358841723926,0
682,1.883635349166518,0
683,1.883899247390528,0
684,1.884736085951494,0
685,1.884828835263682,0
686,1.888057982482548,0
687,1.890165146550639,0
688,1.890817625133717,0
689,1.891628470481311,0
690,1.891919306603226,0
691,1.892137530923642,0
692,1.89278214535994,0
693,1.893455810967422,0
694,1.893455810967422,0
695,1.89487010244942,0
696,1.89487010244942,0
697,1.894926050869071,0
698,1.895200323439898,0
699,1.896243854454972,0
700,1.8965154459456,0
701,1.896597280195647,0
702,1.896597280195647,0
703,1.89830434151246,0
704,1.899440902175361,0
705,1.900128892590023,0
706,1.901996082358352,0
707,1.903138779727891,0
708,1.903411810790301,0
709,1.903537807700812,0
710,1.906195908025493,0
711,1.907588773668933,0
712,1.907588773668933,0
713,1.908770431002164,0
714,1.911504548816936,0
715,1.913218165146837,0
716,1.913218165146837,0
717,1.915713699021982,0
718,1.915824080319756,0
719,1.915824080319756,0
720,1.91753234969315,0
721,1.91753234969315,0
722,1.920040264570786,0
723,1.920656211078351,0
724,1.921633082287242,0
725,1.921822624631054,0
726,1.92214659389503,0
727,1.922533677253229,0
